,model,model_id
0,Sorento,1
1,3 Series,2
2,S60,3
3,6 Series Gran Coupe,4
4,Altima,5
5,M5,6
6,Cruze,7
7,A4,8
8,Camaro,9
9,A6,10
10,Optima,11
11,Fusion,12
12,Sonata,13
13,Q5,14
14,6 Series,15
15,Impala,16
16,5 Series,17
17,A3,18
18,XC70,19
19,X5,20
20,SQ5,21
21,S5,22
22,Verano,23
23,Suburban,24
24,ELR,25
25,V60,26
26,X6,27
27,ILX,28
28,K900,29
29,Malibu,30
30,RX 350,31
31,Versa,32
32,Elantra,33
33,Versa Note,34
34,A8,35
35,X1,36
36,,37
37,Enclave,38
38,TTS,39
39,4 Series,40
40,Silverado 2500HD,41
41,MDX,42
42,Silverado 1500,43
43,SRX,44
44,G Coupe,45
45,G Sedan,46
46,FX,47
47,Santa Fe,48
48,Genesis,49
49,Equus,50
50,Sonata Hybrid,51
51,Accent,52
52,Veloster,53
53,Elantra Coupe,54
54,Azera,55
55,Tucson,56
56,Genesis Coupe,57
57,Wrangler,58
58,S-Class,59
59,GS 350,60
60,Outlander,61
61,C-Class,62
62,Mazda2,63
63,Rio,64
64,M,65
65,370Z,66
66,Soul,67
67,Outlander Sport,68
68,SLK-Class,69
69,ES 350,70
70,E-Class,71
71,Mazda3,72
72,Cooper Clubman,73
73,Cooper,74
74,CX-9,75
75,Forte,76
76,Compass,77
77,JX,78
78,RX 450h,79
79,LR4,80
80,Mazda5,81
81,Range Rover Evoque,82
82,LS 460,83
83,GLK-Class,84
84,Sportage,85
85,Grand Cherokee,86
86,MKX,87
87,mkt,88
88,XF,89
89,GL-Class,90
90,M-Class,91
91,Cooper Countryman,92
92,Lancer,93
93,Range Rover Sport,94
94,Passat,95
95,Corolla,96
96,XC60,97
97,Sienna,98
98,Juke,99
99,Yaris,100
100,Sentra,101
101,Rogue,102
102,NV,103
103,CC,104
104,Leaf,105
105,Camry,106
106,Tacoma,107
107,Jetta,108
108,Impreza WRX,109
109,FJ Cruiser,110
110,Beetle,111
111,Avalon,112
112,FR-S,113
113,NV200,114
114,RAV4,115
115,Quest,116
116,Tundra,117
117,tC,118
118,Maxima,119
119,Cayenne,120
120,911,121
121,Xterra,122
122,Prius,123
123,S80,124
124,Frontier,125
125,Boxster,126
126,Camry Hybrid,127
127,xB,128
128,Cube,129
